question,mean,label
Devil Exists,3.78,Clinton
Devil Exists,4.91,Trump
Literal Bible,2.84,Clinton
Literal Bible,4.46,Trump
Jesus Return to Earth,3.87,Clinton
Jesus Return to Earth,4.7,Trump
Virgin Birth,3.9,Clinton
Virgin Birth,4.89,Trump
Absolute Truth,3.84,Clinton
Absolute Truth,4.78,Trump
Male Authority,1.83,Clinton
Male Authority,3.32,Trump
